#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,1,0,0,42,1,1.3,99,99,99,999,1018,24.9,999,999,99,99
2008,1,1,1,0,41,0.4,0.8,99,99,99,999,1018.4,24.8,999,999,99,99
2008,1,1,2,0,52,0.1,0.4,99,99,99,999,1019.1,24.8,999,999,99,99
2008,1,1,3,0,57,0.9,1.1,99,99,99,999,1019.3,24.8,999,999,99,99
2008,1,1,4,0,50,1.8,2,99,99,99,999,1019.5,24.7,999,999,99,99
2008,1,1,5,0,46,1.1,1.5,99,99,99,999,1019.3,24.6,999,999,99,99
2008,1,1,6,0,34,0.8,1,99,99,99,999,1019.1,24.5,999,999,99,99
2008,1,1,7,0,22,1.2,1.6,99,99,99,999,1018.9,24.4,999,999,99,99
2008,1,1,8,0,31,1.1,1.4,99,99,99,999,1018.6,24.2,999,999,99,99
2008,1,1,9,0,44,0.4,0.7,99,99,99,999,1018.3,24.1,999,999,99,99
2008,1,1,10,0,101,3.5,4,99,99,99,999,1018.2,24.3,999,999,99,99
2008,1,1,11,0,100,3.1,3.6,99,99,99,999,1018.6,24.5,999,999,99,99
2008,1,1,12,0,118,2.2,2.3,99,99,99,999,1019.2,24.5,999,999,99,99
2008,1,1,13,0,169,2.6,2.7,99,99,99,999,1019.8,24.7,999,999,99,99
2008,1,1,14,0,174,1.7,2,99,99,99,999,1020.7,24.9,999,999,99,99
2008,1,1,15,0,162,0.7,0.8,99,99,99,999,1021,25,999,999,99,99
2008,1,1,16,0,269,0.4,0.5,99,99,99,999,1021.1,25.9,999,999,99,99
2008,1,1,17,0,336,2.9,3.1,99,99,99,999,1020.9,24.7,999,999,99,99
2008,1,1,18,0,33,6.3,6.7,99,99,99,999,1019.9,23.5,999,999,99,99
2008,1,1,19,0,34,6.7,7.1,99,99,99,999,1019.3,23.5,999,999,99,99
2008,1,1,20,0,3,5.1,5.6,99,99,99,999,1019.4,23.6,999,999,99,99
2008,1,1,21,0,356,6.6,6.9,99,99,99,999,1019.5,23.7,999,999,99,99
2008,1,1,22,0,14,9,9.5,99,99,99,999,1020.2,23.5,999,999,99,99
2008,1,1,23,0,8 1,3.5,15.1,99,99,99,999,1021,22.7,999,999,99,99
2008,1,2,0,0,13 1,3.6,16,99,99,99,999,1021.6,22.1,999,999,99,99
2008,1,2,1,0,9 1,3.7,14.8,99,99,99,999,1022.2,21.9,999,999,99,99
2008,1,2,2,0,6 1,5.1,16.4,99,99,99,999,1022.6,21.5,999,999,99,99
2008,1,2,3,0,16 1,3.8,16.1,99,99,99,999,1023.1,21.4,999,999,99,99
2008,1,2,4,0,14 1,4.8,16.1,99,99,99,999,1023,21.4,999,999,99,99
2008,1,2,5,0,354 1,4.3,15.4,99,99,99,999,1023,20.8,999,999,99,99
2008,1,2,6,0,359 1,3.8,16.2,99,99,99,999,1023.1,20.4,999,999,99,99
2008,1,2,7,0,352 1,4.5,16.2,99,99,99,999,1023.1,19.7,999,999,99,99
2008,1,2,8,0,15 1,4.1,15.8,99,99,99,999,1023.2,19,999,999,99,99
2008,1,2,9,0,16 1,5.6,17,99,99,99,999,1023.5,18.2,999,999,99,99
2008,1,2,10,0,20 1,6.5,18.2,99,99,99,999,1024.1,17.4,999,999,99,99
2008,1,2,11,0,21 1,4.3,16.2,99,99,99,999,1024.8,17.3,999,999,99,99
2008,1,2,12,0,10 1,5.2,17.5,99,99,99,999,1025.8,16.6,999,999,99,99
2008,1,2,13,0,14 1,5.5,17.8,99,99,99,999,1026.6,16.5,999,999,99,99
2008,1,2,14,0,0 1,3,14.4,99,99,99,999,1027.7,16.4,999,999,99,99
2008,1,2,15,0,17 1,3.4,15.5,99,99,99,999,1028.6,16.1,999,999,99,99
2008,1,2,16,0,359 1,3.3,14.4,99,99,99,999,1028.7,16.3,999,999,99,99
2008,1,2,17,0,12 1,4.1,16.7,99,99,99,999,1028.3,16.1,999,999,99,99
2008,1,2,18,0,8 1,4,17.4,99,99,99,999,1027.7,15.8,999,999,99,99
2008,1,2,19,0,348 1,4.6,16.4,99,99,99,999,1027.1,15.3,999,999,99,99
2008,1,2,20,0,5 1,5.4,17.1,99,99,99,999,1026.9,15.3,999,999,99,99
2008,1,2,21,0,11 1,3.5,17.2,99,99,99,999,1027.3,15.2,999,999,99,99
2008,1,2,22,0,357 1,3.8,16.1,99,99,99,999,1027.7,14.6,999,999,99,99
2008,1,2,23,0,3 1,4.3,17.6,99,99,99,999,1028.5,14.8,999,999,99,99
2008,1,3,0,0,358 1,3.1,15.1,99,99,99,999,1029.4,14.1,999,999,99,99
2008,1,3,1,0,11 1,4.1,16.1,99,99,99,999,1029.9,13.8,999,999,99,99
2008,1,3,2,0,351 1,4.4,17.1,99,99,99,999,1030.2,13.9,999,999,99,99
2008,1,3,3,0,14 1,5.1,17.7,99,99,99,999,1030.7,13.7,999,999,99,99
2008,1,3,4,0,15 1,2.7,16.1,99,99,99,999,1030.9,13.5,999,999,99,99
2008,1,3,5,0,13 1,5,17.4,99,99,99,999,1030.3,13.7,999,999,99,99
2008,1,3,6,0,20 1,4.9,17.7,99,99,99,999,1030.1,13.6,999,999,99,99
2008,1,3,7,0,39 1,3.6,16,99,99,99,999,1029.9,12.4,999,999,99,99
2008,1,3,8,0,26 1,4,16.7,99,99,99,999,1030.1,11.4,999,999,99,99
2008,1,3,9,0,26 1,4.7,16.4,99,99,99,999,1030.6,9.8,999,999,99,99
2008,1,3,10,0,31 1,3,16.1,99,99,99,999,1031,9.1,999,999,99,99
2008,1,3,11,0,33 1,3.9,17.2,99,99,99,999,1031.6,8.6,999,999,99,99
2008,1,3,12,0,29 1,4.1,15.5,99,99,99,999,1031.9,9.2,999,999,99,99
2008,1,3,13,0,41 1,3.1,15.6,99,99,99,999,1032.6,9.7,999,999,99,99
