#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00  42  1.0  1.3 99.00 99.00 99.00 999 1018.0  24.9 999.0 999.0 99.0 99.00
2008 01 01 01 00  41  0.4  0.8 99.00 99.00 99.00 999 1018.4  24.8 999.0 999.0 99.0 99.00
2008 01 01 02 00  52  0.1  0.4 99.00 99.00 99.00 999 1019.1  24.8 999.0 999.0 99.0 99.00
2008 01 01 03 00  57  0.9  1.1 99.00 99.00 99.00 999 1019.3  24.8 999.0 999.0 99.0 99.00
2008 01 01 04 00  50  1.8  2.0 99.00 99.00 99.00 999 1019.5  24.7 999.0 999.0 99.0 99.00
2008 01 01 05 00  46  1.1  1.5 99.00 99.00 99.00 999 1019.3  24.6 999.0 999.0 99.0 99.00
2008 01 01 06 00  34  0.8  1.0 99.00 99.00 99.00 999 1019.1  24.5 999.0 999.0 99.0 99.00
2008 01 01 07 00  22  1.2  1.6 99.00 99.00 99.00 999 1018.9  24.4 999.0 999.0 99.0 99.00
2008 01 01 08 00  31  1.1  1.4 99.00 99.00 99.00 999 1018.6  24.2 999.0 999.0 99.0 99.00
2008 01 01 09 00  44  0.4  0.7 99.00 99.00 99.00 999 1018.3  24.1 999.0 999.0 99.0 99.00
2008 01 01 10 00 101  3.5  4.0 99.00 99.00 99.00 999 1018.2  24.3 999.0 999.0 99.0 99.00
2008 01 01 11 00 100  3.1  3.6 99.00 99.00 99.00 999 1018.6  24.5 999.0 999.0 99.0 99.00
2008 01 01 12 00 118  2.2  2.3 99.00 99.00 99.00 999 1019.2  24.5 999.0 999.0 99.0 99.00
2008 01 01 13 00 169  2.6  2.7 99.00 99.00 99.00 999 1019.8  24.7 999.0 999.0 99.0 99.00
2008 01 01 14 00 174  1.7  2.0 99.00 99.00 99.00 999 1020.7  24.9 999.0 999.0 99.0 99.00
2008 01 01 15 00 162  0.7  0.8 99.00 99.00 99.00 999 1021.0  25.0 999.0 999.0 99.0 99.00
2008 01 01 16 00 269  0.4  0.5 99.00 99.00 99.00 999 1021.1  25.9 999.0 999.0 99.0 99.00
2008 01 01 17 00 336  2.9  3.1 99.00 99.00 99.00 999 1020.9  24.7 999.0 999.0 99.0 99.00
2008 01 01 18 00  33  6.3  6.7 99.00 99.00 99.00 999 1019.9  23.5 999.0 999.0 99.0 99.00
2008 01 01 19 00  34  6.7  7.1 99.00 99.00 99.00 999 1019.3  23.5 999.0 999.0 99.0 99.00
2008 01 01 20 00   3  5.1  5.6 99.00 99.00 99.00 999 1019.4  23.6 999.0 999.0 99.0 99.00
2008 01 01 21 00 356  6.6  6.9 99.00 99.00 99.00 999 1019.5  23.7 999.0 999.0 99.0 99.00
2008 01 01 22 00  14  9.0  9.5 99.00 99.00 99.00 999 1020.2  23.5 999.0 999.0 99.0 99.00
2008 01 01 23 00   8 13.5 15.1 99.00 99.00 99.00 999 1021.0  22.7 999.0 999.0 99.0 99.00
2008 01 02 00 00  13 13.6 16.0 99.00 99.00 99.00 999 1021.6  22.1 999.0 999.0 99.0 99.00
2008 01 02 01 00   9 13.7 14.8 99.00 99.00 99.00 999 1022.2  21.9 999.0 999.0 99.0 99.00
2008 01 02 02 00   6 15.1 16.4 99.00 99.00 99.00 999 1022.6  21.5 999.0 999.0 99.0 99.00
2008 01 02 03 00  16 13.8 16.1 99.00 99.00 99.00 999 1023.1  21.4 999.0 999.0 99.0 99.00
2008 01 02 04 00  14 14.8 16.1 99.00 99.00 99.00 999 1023.0  21.4 999.0 999.0 99.0 99.00
